file_name,tags,ratio
/home/yonah/Data/vt_report_pdf/bbac253b61d04402d6e20cfff578f6b31af2a8873b7bbcedb5cb5f433aa6f622.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",31 / 49
/home/yonah/Data/vt_report_pdf/a3b7f07927183c7e93875b6faba20a2cf2805d3bbcb3b667a9de3f4b5b6daa1f.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",31 / 47
/home/yonah/Data/vt_report_pdf/3668df092a58ccf6c8fd917a2244c629c0c84e1e70bb968b6b1413ccdcf7aa2b.html,"['invalid-xref', 'acroform', 'js-embedded', 'autoaction', 'pdf']",27 / 47
/home/yonah/Data/vt_report_pdf/29f4af226923e71e0baf5b18c390e6488889f632fa42f214c97e078634539c23.html,0,28 / 42
/home/yonah/Data/vt_report_pdf/8c063ad126dd4dc516b0e1fe74bc24e0d788158499dd21840be18d291419f96a.html,"['pdf', 'acroform', 'js-embedded', 'autoaction', 'invalid-xref']",34 / 46
/home/yonah/Data/vt_report_pdf/fca73d9d8edfbf69dd212eff75f5e65b0aae36efbf824ec0840da420b0c696b2.html,"['invalid-xref', 'acroform', 'pdf', 'js-embedded']",35 / 46
/home/yonah/Data/vt_report_pdf/ef238e0d3c6b965b8a38349ad6a3b318af6524212bf9d753389859cf2528739a.html,0, 2 / 42
/home/yonah/Data/vt_report_pdf/30d03842d373e41fb3d6751602eed3c1bddb48c1af0614d179795419cd8ffb4c.html,0,28 / 43
/home/yonah/Data/vt_report_pdf/a884151a59afbd160412075b75c9024d4e0b9d124591cc5ecde85c19fc5ff743.html,0,29 / 42
/home/yonah/Data/vt_report_pdf/edea5b2b160352da9ab741669d34ba7a61ce53c378072a6f9224273f317f6078.html,"['invalid-xref', 'pdf', 'js-embedded']",36 / 61
/home/yonah/Data/vt_report_pdf/da226e62559fe727aa9930636084c965811dbdb64a2a13112741a8ed435121ca.html,"['pdf', 'invalid-xref', 'acroform', 'autoaction', 'js-embedded']",34 / 56
/home/yonah/Data/vt_report_pdf/2d932fa71039890d2eac7149ac95fa00e8c052e00c0621c9c47e896c73e46e85.html,0,10 / 43
/home/yonah/Data/vt_report_pdf/f3cbcc45ccf592e43b55f4e14fc17989416750cae9d5d55059fb9a59b73c7988.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",37 / 51
/home/yonah/Data/vt_report_pdf/fc102d88292cf1e190d38127cb07f61a459e84c8a02df5dba2864ca55b051943.html,0,26 / 43
/home/yonah/Data/vt_report_pdf/0c760f60202810a128913d7a3ba364dd3f4b05cfdcd87f1606a61d604add2dca.html,0,26 / 43
/home/yonah/Data/vt_report_pdf/791b54c74e5f1e2563a69a0ac109d6aaf71a5b8c97b7c05dafb17e1a94614445.html,0,28 / 42
